id,location,name,type
55cba2476c522cafdb053add,"[40.848447, -73.856077]","Morris Park Bake Shop","Point"
55cba2476c522cafdb053ade,"[40.662942, -73.961704]","Wendy'S","Point"
55cba2476c522cafdb053adf,"[40.579505, -73.98241999999999]","Riviera Caterer","Point"
55cba2476c522cafdb053ae0,"[40.7311739, -73.8601152]","Tov Kosher Kitchen","Point"
55cba2476c522cafdb053ae1,"[40.7643124, -73.8803827]","Brunos On The Boulevard","Point"
55cba2476c522cafdb053ae2,"[40.7676919, -73.98513559999999]","Dj Reynolds Pub And Restaurant","Point"
55cba2476c522cafdb053ae3,"[40.6199034, -73.9068506]","Wilken'S Fine Food","Point"
55cba2476c522cafdb053ae4,"[40.628886, -74.00528899999999]","Regina Caterers","Point"
55cba2476c522cafdb053ae5,"[40.6408271, -73.9482609]","Taste The Tropics Ice Cream","Point"
55cba2476c522cafdb053ae6,"[40.6119572, -74.1377286]","Kosher Island","Point"
55cba2476c522cafdb053ae7,"[40.8502883, -73.8786113]","Wild Asia","Point"
55cba2476c522cafdb053ae8,"[40.61174889999999, -73.9973325]","C & C Catering Service","Point"
55cba2476c522cafdb053ae9,"[40.7685235, -73.96926909999999]","1 East 66Th Street Kitchen","Point"
55cba2476c522cafdb053aea,"[40.6730975, -73.871194]","May May Kitchen","Point"
55cba2476c522cafdb053aeb,"[40.6064339, -73.9653967]","Seuda Foods","Point"
55cba2476c522cafdb053aec,"[40.6435254, -73.97822040000001]","Carvel Ice Cream","Point"
55cba2476c522cafdb053aed,"[40.7386417, -73.7032601]","Carvel Ice Cream","Point"
55cba2476c522cafdb053aee,"[40.6353674, -74.0259567]","Nordic Delicacies","Point"
55cba2476c522cafdb053aef,"[40.6580753, -73.9829239]","The Movable Feast","Point"
55cba2476c522cafdb053af0,"[40.78147, -73.839297]","Sal'S Deli","Point"
55cba2476c522cafdb053af1,"[40.767461, -73.95171]","Glorious Food","Point"
55cba2476c522cafdb053af2,"[40.7309346, -73.9925306]","Bully'S Deli","Point"
55cba2476c522cafdb053af3,"[40.786714, -73.976112]","Harriet'S Kitchen","Point"
55cba2476c522cafdb053af4,"[40.7623288, -73.94024739999999]","Steve Chu'S Deli & Grocery","Point"
55cba2476c522cafdb053af5,"[40.7925587, -73.96805719999999]","P & S Deli Grocery","Point"
55cba2476c522cafdb053af6,"[40.72589, -73.996984]","Angelika Film Center","Point"
55cba2476c522cafdb053af7,"[40.6940001, -73.9634876]","White Castle","Point"
55cba2476c522cafdb053af8,"[40.75356, -73.8642349]","Ho Mei Restaurant","Point"
55cba2476c522cafdb053af9,"[40.70620539999999, -74.0085357]","The Country Cafe","Point"
55cba2476c522cafdb053afa,"[40.6522396, -73.9246028]","Shashemene Int'L Restaura","Point"
55cba2476c522cafdb053afb,"[40.7132925, -74.00920839999999]","Downtown Deli","Point"
55cba2476c522cafdb053afc,"[40.8903781, -73.84856870000002]","Carvel Ice Cream","Point"
55cba2476c522cafdb053afd,"[40.692273, -73.991495]","Dunkin' Donuts","Point"
55cba2476c522cafdb053afe,"[40.7251256, -73.9998042]","Olive'S","Point"
55cba2476c522cafdb053aff,"[40.81376179999999, -73.8893654]","Happy Garden","Point"
55cba2476c522cafdb053b00,"[40.7569545, -73.990494]","Cafe Metro","Point"
55cba2476c522cafdb053b01,"[40.694924, -73.902463]","Tony'S Deli","Point"
55cba2476c522cafdb053b02,"[40.7516269, -73.97534999999999]","Lexler Deli","Point"
55cba2476c522cafdb053b03,"[40.6103714, -74.1459332]","Bagels N Buns","Point"
55cba2476c522cafdb053b04,"[40.7135015, -73.8740217]","Hot Bagels","Point"
55cba2476c522cafdb053b05,"[40.7001121, -73.8309503]","Snack Time Grill","Point"
55cba2476c522cafdb053b06,"[40.744328, -73.9791458]","Domino'S Pizza","Point"
55cba2476c522cafdb053b07,"[40.7753401, -73.95685019999999]","Lorenzo & Maria'S","Point"
55cba2476c522cafdb053b08,"[40.757365, -73.975393]","Berkely","Point"
55cba2476c522cafdb053b09,"[40.6438684, -73.9075537]","Sonny'S Heros","Point"
55cba2476c522cafdb053b0a,"[40.59878339999999, -74.0796436]","Carvel Ice Cream","Point"
55cba2476c522cafdb053b0b,"[40.6620192, -73.92701509999999]","Golden Pavillion","Point"
55cba2476c522cafdb053b0c,"[40.7778589, -73.9806854]","Domino'S Pizza","Point"
55cba2476c522cafdb053b0d,"[40.6253268, -73.9615132]","Kosher Bagel Hole","Point"
55cba2476c522cafdb053b0e,"[40.8014307, -73.96084119999999]","Spoon Bread Catering","Point"
55cba2476c522cafdb053b0f,"[9.9986585, -84.2040813]","Terminal Cafe/Yankee Clipper","Point"
55cba2476c522cafdb053b10,"[40.6281815, -74.0228449]","Mejlander & Mulgannon","Point"
55cba2476c522cafdb053b11,"[40.5734906, -74.1178949]","Plaza Bagels & Deli","Point"
55cba2476c522cafdb053b12,"[40.7092038, -74.0061936]","Texas Rotisserie","Point"
